KO,EC,RXN
K00926,2.7.2.2,R00150;R00150  ATP:carbamate phosphotransferase;R01395;R01395  ATP:carbamate phosphotransferase
K00927,2.7.2.3,R01512;R01512  ATP:3-phospho-D-glycerate 1-phosphotransferase
K00928,2.7.2.4,R00480;R00480  ATP:L-aspartate 4-phosphotransferase
K00929,2.7.2.7,R01688;R01688  ATP:butanoate 1-phosphotransferase
K00930,2.7.2.8,R02649;R02649  ATP:N-acetyl-L-glutamate 5-phosphotransferase
K00931,2.7.2.11,R00239;R00239  ATP:L-glutamate 5-phosphotransferase
K00932,2.7.2.15,R01353;R01353  ATP:propanoate phosphotransferase
K00936,2.7.13.3,
K00937,2.7.4.1,
K00939,2.7.4.3,R00127;R00127  ATP:AMP phosphotransferase;R01547;R01547  ATP:dAMP phosphotransferase;R11319;R11319  ADP:thiamin-diphosphate phosphotransferase
K00940,2.7.4.6,R00124;R00124  ATP:ADP phosphatransferase;R00139;R00139  ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase;R00156;R00156  ATP:UDP phosphotransferase;R00330;R00330  ATP:GDP phosphotransferase;R00331;R00331  ATP:nucleoside-diphosphate phosphotransferase;R00570;R00570  ATP:CDP phosphotransferase;R00722;R00722  ATP:IDP phosphotransferase;R01137;R01137  ATP:dADP phosphotransferase;R01857;R01857  ATP:dGDP phosphotransferase;R02093;R02093  ATP:dTDP phosphotransferase;R02326;R02326  ATP:dCDP phosphotransferase;R02331;R02331  ATP:dUDP phosphotransferase;R03530;R03530  ATP:dIDP phosphotransferase;R11894;R11894  ATP:5-fluorouridine-diphosphate phosphotransferase;R11895;R11895  ATP:5-fluorodeoxyuridine-diphosphate phosphotransferase;R12853;R12853  nucleoside-diphosphate kinase
K00941,2.7.1.49;2.7.4.7,R03471;R03471  ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase;R04509;R04509  ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase
K00942,2.7.4.8,R00332;R00332  ATP:GMP phosphotransferase;R02090;R02090  ATP:dGMP phosphotransferase;R12852;R12852  guanylate kinase
K00943,2.7.4.9,R02094;R02094  ATP:dTMP phosphotransferase;R02098;R02098  ATP:dUMP phosphotransferase
K00945,2.7.4.25,R00512;R00512  ATP:CMP phosphotransferase;R01665;R01665  ATP:dCMP phosphotransferase
K00946,2.7.4.16,R00617;R00617  ATP:thiamin-phosphate phosphotransferase
K00948,2.7.6.1,R01049;R01049  ATP:D-ribose-5-phosphate diphosphotransferase
K00950,2.7.6.3,"R03503;R03503  ATP:6-hydroxymethyl-7,8-dihydropterin 6'-diphosphotransferase"
K00951,2.7.6.5,R00429;R00429  ATP:GTP 3'-diphosphotransferase
K00954,2.7.7.3,R03035;R03035  ATP:pantetheine-4'-phosphate adenylyltransferase
K00955,2.7.1.25;2.7.7.4,R00509;R00509  ATP:adenylylsulfate 3'-phosphotransferase;R00529;R00529  ATP:sulfate adenylyltransferase;R04928;R04928  ATP:adenylylsulfate 3'-phosphotransferase;R04929;R04929  ATP:selenate adenylyltransferase
K00956,2.7.7.4,R00529;R00529  ATP:sulfate adenylyltransferase;R04929;R04929  ATP:selenate adenylyltransferase
K00957,2.7.7.4,R00529;R00529  ATP:sulfate adenylyltransferase;R04929;R04929  ATP:selenate adenylyltransferase
K00958,2.7.7.4,R00529;R00529  ATP:sulfate adenylyltransferase;R04929;R04929  ATP:selenate adenylyltransferase
K00962,2.7.7.8,
K00963,2.7.7.9,R00289;R00289  UTP:alpha-D-glucose-1-phosphate uridylyltransferase
K00965,2.7.7.12,R00955;R00955  UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase
K00966,2.7.7.13,R00885;R00885  GTP:alpha-D-mannose-1-phosphate guanylyltransferase
K00969,2.7.7.18,R00137;R00137  ATP:nicotinamide-nucleotide adenylyltransferase;R03005;R03005  ATP:nicotinamide-nucleotide adenylyltransferase
K00970,2.7.7.19,
K00971,2.7.7.13,R00885;R00885  GTP:alpha-D-mannose-1-phosphate guanylyltransferase
K00973,2.7.7.24,R02328;R02328  dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase
K00974,2.7.7.72,"R09382;R09382  CTP,CTP,ATP:tRNA cytidylyl,cytidylyl,adenylyltransferase;R09383;R09383  CTP:tRNA cytidylyltransferase;R09384;R09384  CTP:tRNA cytidylyltransferase;R09386;R09386  ATP:tRNA adenylyltransferase"
K00975,2.7.7.27,R00948;R00948  ATP:alpha-D-glucose-1-phosphate adenylyltransferase
K00978,2.7.7.33,R00956;R00956  CTP:alpha-D-glucose-1-phosphate cytidylyltransferase
K00979,2.7.7.38,"R03351;R03351  CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase;R11396;R11396  CTP:8-amino-3,8-dideoxy-D-manno-octulosonate cytidylyltransferase"
K00980,2.7.7.39,R00856;R00856  CTP:sn-glycerol-3-phosphate cytidylyltransferase
K00981,2.7.7.41,R01799;R01799  CTP:phosphatidate cytidyltransferase
K00982,2.7.7.42;2.7.7.89,
K00984,2.7.7.47,
K00986,2.7.7.49,
K00989,2.7.7.56,
K00990,2.7.7.59,
K00991,2.7.7.60,R05633;R05633  CTP: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
K00992,2.7.7.99,R11025;R11025  UTP:N-acetyl-alpha-D-muramate-1-phosphate uridylyltransferase
K00995,2.7.8.5,R01801;R01801  CDP-diacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase
K00996,2.7.8.6,
K00997,2.7.8.7,R01625;R01625  CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase
K00998,2.7.8.8,R01800;R01800  CDP-diacylglycerol:L-serine 3-phosphatidyltransferase
K01000,2.7.8.13,"R05629;R05629  UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase;R05630;R05630  UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine:undecaprenyl-phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase"
K01002,2.7.8.20,
K01003,4.1.1.112,R00217;R00217  oxaloacetate carboxy-lyase (pyruvate-forming)
K01005,,
K01006,2.7.9.1,"R00206;R00206  ATP:pyruvate,phosphate phosphotransferase"
K01007,2.7.9.2,"R00199;R00199  ATP:pyruvate,water phosphotransferase"
K01008,2.7.9.3,"R03595;R03595  ATP:selenide, water phosphotransferase"
K01011,2.8.1.1;2.8.1.2,R01931;R01931  thiosulfate:cyanide sulfurtranserase;R03105;R03105  3-mercaptopyruvate:sulfide sulfurtransferase
K01012,2.8.1.6,R01078;R01078  dethiobiotin:sulfur sulfurtransferase
K01023,2.8.2.22,
K01026,2.8.3.1,R00928;R00928  acetyl-CoA:propanoate CoA-transferase;R01449;R01449  lactoyl-CoA:propanoate CoA-transferase;R05508
K01029,2.8.3.5,R00410;R00410  succinyl-CoA:acetoacetate CoA-transferase
K01034,2.8.3.8;2.8.3.9,R01179;R01179  butanoyl-CoA:acetate CoA-transferase;R01359;R01359  acetoacetyl-CoA:acetate CoA-transferase;R01365;R01365  butanoyl-CoA:acetoacetate CoA-transferase;R07832;R07832  3-hydroxy-5-oxohexanoyl-CoA:acetate CoA-transferase
K01039,2.8.3.12,R04000;R04000  (E)-glutaconate CoA-transferase;R05509
K01041,,R13035;R13035  
K01042,2.9.1.1,R08219;R08219  selenophosphate:L-seryl-tRNASec selenium transferase
K01046,3.1.1.3,"R02250;R02250  triacylglycerol acylhydrolase;R02687;R02687  1,2-diacyl-sn-glycerol acylhydrolase"
K01048,3.1.1.5,
K01051,3.1.1.11,R02362;R02362  pectin pectylhydrolase
K01053,3.1.1.17,"R01519;R01519  D-glucono-1,5-lactone lactonohydrolase;R02933;R02933  L-gulono-1,4-lactone lactonohydrolase;R03751;R03751  epsilon-caprolactone lactonohydrolase"
K01056,3.1.1.29,
K01057,3.1.1.31,"R02035;R02035  6-phospho-D-glucono-1,5-lactone lactonohydrolase"
K01058,3.1.1.32;3.1.1.4,R01315;R01315  phosphatidylcholine 2-acylhydrolase;R01316;R01316  phosphatidylcholine 1-acylhydrolase;R01317;R01317  phosphatidylcholine 2-acylhydrolase;R02053;R02053  phosphatidylethanolamine 2-acylhydrolase;R02054;R02054  phosphatidylethanolamine 1-acylhydrolase;R04034;R04034  3-sn-phosphatidyl-L-serine sn-1 acylhydrolase;R07064;R07064  phosphatidylcholine 2-acylhydrolase;R07379;R07379  plasmenylethanolamine 2-acylhydrolase;R07387;R07387  plasmanylcholine 2-acylhydrolase;R07859;R07860
K01060,3.1.1.41,R03062;R03062  cephalosporin-C acetylhdrolase
K01061,3.1.1.45,"R03893;R03893  4-carboxymethylenebut-2-en-4-olide lactonohydrolase;R05510;R05510  protoanemonin lactonohydrolase;R05511;R06835;R06835  4-carboxymethylenebut-2-en-4-olide lactonohydrolase;R06838;R06838  4-carboxymethylenebut-2-en-4-olide lactonohydrolase;R08120;R08120  5-fluoromuconolactone lactonohydrolase;R08121;R08121  4-fluoromuconolactone lactonohydrolase;R09136;R09136  2,3,5-trichlorodienelactone lactonohydrolase;R09220;R09220  dienelactone hydrolase;R09222;R09222  dienelactone hydrolase"
K01066,,
K01069,3.1.2.6,R01736;R01736  (R)-S-lactoylglutathione hydrolase
K01070,3.1.2.12,R00527;R00527  S-formylglutathione hydrolase
K01077,3.1.3.1,"R02135;R02135  thiamin monophosphate phosphohydrolase;R04620;R04620  7,8-dihydroneopterin-3'-triphosphate phosphohydrolase (alkaline optimum)"
K01079,3.1.3.3,R00582;R00582  O-phospho-L-serine phosphohydrolase
K01081,3.1.3.5,R00183;R00183  adenosine 5'-monophosphate phosphohydrolase;R00511;R00511  cytidine-5'-monophosphate phosphohydrolase;R00963;R00963  uridine 5'-monophosphate phosphohydrolase;R01126;R01126  inosine 5'-monophosphate phosphohydrolase;R01227;R01227  guanosine 5'-monophosphate phosphohydrolase;R01569;R01569  thymidylate 5'-phosphohydrolase;R01664;R01664  2'-deoxycytidine 5'-monophosphate phosphohydrolase;R01968;R01968  2'-deoxyguanosine 5'-monophosphate phosphohydrolase;R02088;R02088  2'-deoxyadenosine 5'-monophosphate phosphohydrolase;R02102;R02102  2'-deoxyuridine 5'-monophosphate phosphohydrolase;R02323;R02323  nicotinamide ribonucleotide phosphohydrolase;R02719;R02719  xanthosine 5'-phosphate phosphohydrolase;R03346;R03346  nicotinate D-ribonucleotide phosphohydrolase;R12958;R12958  dIMP phosphohydrolase
K01082,3.1.3.7,"R00188;R00188  adenosine-3',5'-bisphosphate 3'-phosphohydrolase;R00508;R00508  3'-phospho-5'-adenylyl sulfate 3'-phosphohydrolase"
K01085,3.1.3.10,R00947;R00947  alpha-D-glucose-1-phosphate phosphohydrolase
K01089,3.1.3.15;4.2.1.19,R03013;R03013  L-histidinol-phosphate phosphohydrolase;R03457;R03457  D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate hydro-lyase
K01091,3.1.3.18,R01334;R01334  2-phosphoglycolate phosphohydrolase
K01092,3.1.3.25,R01185;R01185  1D-myo-inositol 1-phosphate phosphohydrolase;R01186;R01186  1D-myo-inositol 4-phosphate phosphohydrolase;R01187;R01187  1D-myo-inositol 3-phosphate phosphohydrolase
K01093,3.1.3.2;3.1.3.26,R00548;R00548  riboflavin-5-phosphate phosphohydrolase;R03372;R03372  myo-inositol-hexakisphosphate 4-phosphohydrolase
K01095,3.1.3.27,R02029;R02029  phosphatidylglycerophosphate phosphohydrolase
K01096,3.1.3.27;3.1.3.4;3.6.1.27;3.6.1.75,R02029;R02029  phosphatidylglycerophosphate phosphohydrolase
K01104,3.1.3.48,
K01113,3.1.3.1,"R04620;R04620  7,8-dihydroneopterin-3'-triphosphate phosphohydrolase (alkaline optimum)"
K01114,3.1.4.3,R01312;R01312  phosphatidylcholine cholinephosphohydrolase;R02027;R02027  phosphatidylglycerol cholinephosphohydrolase;R02052;R02052  phosphatidylethanolamine ethanolaminephosphohydrolase;R03332;R03332  1-phosphatidyl-D-myo-inositol inositolphosphohydrolase;R07381;R07381  plasmenylethanolamine ethanolamine phosphohydrolase
K01118,1.7.1.17,
K01119,3.1.3.6;3.1.4.16,"R01562;R01562  adenosine 3'-phosphate phosphohydrolase;R01877;R01877  uridine 3'-monophosphate phosphohydrolase;R02148;R02148  guanosine 3'-phosphate phosphohydrolase;R02370;R02370  cytidine 3'-phosphate phosphohydrolase;R03537;R03537  2',3'-cyclic AMP 3'-nucleotidohydrolase;R03538;R03538  2',3'-cyclic UMP 3'-nucleotidohydrolase;R03929;R03929  2',3'-cyclic CMP 3'-nucleotidohydrolase;R05135;R05135  2',3'-cyclic GMP 3'-nucleotidohydrolase"
K01126,3.1.4.46,R01030;R01030  sn-glycero-3-phosphocholine glycerophosphohydrolase;R01470;R01470  sn-glycero-3-phosphoethanolamine glycerophosphohydrolase
K01129,3.1.5.1,R01856;R01856  dGTP triphosphohydrolase
K01130,3.1.6.1,R04856;R04856  sulfatide sulfohydrolase
K01133,3.1.6.6,
K01138,,
K01139,2.7.6.5;3.1.7.2,"R00336;R00336  guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase;R00429;R00429  ATP:GTP 3'-diphosphotransferase"
K01141,3.1.11.1,
K01142,3.1.11.2,
K01146,,
K01147,3.1.13.1,
K01150,3.1.21.1,
K01151,3.1.21.2,
K01153,3.1.21.3,
K01154,3.1.21.3,
K01156,3.1.21.5,
K01157,,
K01159,3.1.21.10,
K01163,,
K01169,4.6.1.21,
K01173,,
K01174,3.1.31.1,
K01176,3.2.1.1,"R02108;R02108  1,4-alpha-D-glucan glucanohydrolase;R02112;R02112  1,4-alpha-D-glucan maltohydrolase;R11262;R11262  maltodextrin maltohydrolase"
K01178,3.2.1.3,"R01790;R01790  1,4-alpha-D-glucan glucohydrolase;R01791;R01791  dextrin 6-alpha-D-glucanohydrolase;R06199"
K01179,3.2.1.4,R06200;R06200  ;R11307;R11308
K01181,3.2.1.8,
K01182,3.2.1.10,R00801;R00801  sucrose glucohydrolase;R01718;R01718  isomaltose 6-alpha-D-glucanohydrolase;R01791;R01791  dextrin 6-alpha-D-glucanohydrolase;R06199
K01183,3.2.1.14,"R01206;R01206  [1,4-(N-acetyl-beta-D-glucosaminyl)]n glycanohydrolase;R02334;R02334  [1,4-(N-acetyl-beta-D-glucosaminyl)]n glycanohydrolase"
K01184,3.2.1.15,"R01982;R01982  poly(1,4-alpha-D-galacturonate) galacturonohydrolase;R02360;R02360  poly(1,4-alpha-D-galacturonate) glycanohydrolase"
K01185,3.2.1.17,
K01186,3.2.1.18,R03491;R03491  ;R04018;R04018  acylneuraminyl hydrolase;R05999;R06147
K01187,3.2.1.20,R00028;R00028  maltose glucohydrolase;R00801;R00801  sucrose glucohydrolase;R00802;R00802  sucrose alpha-glucohydrolase;R06087;R06088
K01190,3.2.1.23,"R01105;R01105  galactan galactohydrolase;R01678;R01678  lactose galactohydrolase;R03355;R03355  beta-D-galactosyl-1,4-beta-D-glucosylceramide galactohydrolase;R04783;R04783  3-ketolactose galactohydrolase;R06114"
K01191,3.2.1.24,
K01192,3.2.1.25,
K01193,3.2.1.26,R00801;R00801  sucrose glucohydrolase;R00802;R00802  sucrose alpha-glucohydrolase;R02410;R02410  raffinose fructohydrolase;R03635;R03635  stachyose fructohydrolase;R03921;R03921  sucrose 6-phosphate fructohydrolase;R06088
K01194,3.2.1.28,"R00010;R00010  alpha,alpha-trehalose glucohydrolase"
K01195,3.2.1.31,R01478;R01478  beta-D-glucuronoside glucuronosohydrolase;R04979;R04979  bilirubin beta-diglucuronide glucuronosohydrolase;R07818;R08127;R08127  beta-D-glucuronoside glucuronosohydrolase;R08260;R08260  SN38 glucuronide glucuronosohydrolase;R10830;R10830  beta-D-glucuronoside glucuronosohydrolase
K01197,3.2.1.35,R07824;R07824  ;R07825;R10905
K01198,3.2.1.37,R01433;R01433  D-xylose xylohydrolase
K01200,3.2.1.41,"R02111;R02111  1,4-alpha-D-glucan:orthophosphate alpha-D-glucosyltransferase"
K01201,3.2.1.45,R01498;R01498  D-glucosyl-N-acylsphingosine glucohydrolase;R13178;R13178  D-glucosylsphingosine glucohydrolase
K01205,3.2.1.50,R07816;R07816  
K01206,3.2.1.51,
K01207,3.2.1.52,R00022;R00022  chitobiose N-acetylglucosaminohydrolase;R10831
K01208,3.2.1.133;3.2.1.135;3.2.1.54,"R02112;R02112  1,4-alpha-D-glucan maltohydrolase;R03122;R03122  cyclomaltodextrin dextrin-hydrolase (decyclizing);R11262;R11262  maltodextrin maltohydrolase"
K01209,3.2.1.55,R01762;R01762  alpha-L-arabinan arabinofuranohydrolase
K01212,3.2.1.65,"R05624;R05624  2,6-beta-D-fructan fructanohydrolase;R11311"
K01214,3.2.1.68,R09995;R09995  ;R11261
K01215,3.2.1.70,
K01218,3.2.1.78,R01332;R01332  beta-D-mannan hydrolases
K01220,3.2.1.85,R03256;R03256  lactose 6-phosphate 6-phosphogalactohydrolase
K01222,3.2.1.86,R00839;R00839  6-phospho-beta-D-glucosyl-(1->4)-D-glucose 6-phosphoglucohydrolase;R05133;R05133  arbutin 6-phosphate glucohydrolase;R05134;R05134  salicin 6-phosphate glucohydrolase
K01223,3.2.1.86,R00839;R00839  6-phospho-beta-D-glucosyl-(1->4)-D-glucose 6-phosphoglucohydrolase;R05133;R05133  arbutin 6-phosphate glucohydrolase;R05134;R05134  salicin 6-phosphate glucohydrolase
K01224,3.2.1.89,
K01226,3.2.1.93,"R00837;R00837  alpha,alpha-trehalose-6-phosphate phosphoglucohydrolase;R06113"
K01232,3.2.1.122,"R00837;R00837  alpha,alpha-trehalose-6-phosphate phosphoglucohydrolase;R00838;R00838  maltose-6'-phosphate 6-phosphoglucohydrolase;R06113"
K01235,3.2.1.139,
K01236,3.2.1.141,R09995;R09995  ;R11256;R11256  4-alpha-D-[(1->4)-alpha-D-glucano]trehalose glucanohydrolase (trehalose-producing)
K01241,3.2.2.4,R00182;R00182  AMP phosphoribohydrolase
K01243,3.2.2.9,R00194;R00194  S-adenosyl-L-homocysteine homocysteinylribohydrolase;R01401;R01401  methylthioadenosine methylthioribohydrolase
K01246,3.2.2.20,
K01247,3.2.2.21,
K01251,3.13.2.1,R00192;R00192  S-adenosyl-L-homocysteine hydrolase
K01255,3.4.11.1,R00899;R00899  L-cysteinylglycine dipeptidase;R04951
K01256,3.4.11.2,R00899;R00899  L-cysteinylglycine dipeptidase;R04951
K01258,3.4.11.4,
K01259,3.4.11.5,R00135;R00135  
K01261,3.4.11.7,
K01262,3.4.11.9,
K01265,3.4.11.18,
K01269,,
K01270,,R00899;R00899  L-cysteinylglycine dipeptidase;R04951
K01271,3.4.13.9,
K01273,3.4.13.19,
K01274,,
K01277,3.4.14.4,
K01278,3.4.14.5,
K01281,3.4.14.11,
K01284,3.4.15.5,
K01286,3.4.16.4,
K01295,3.4.17.11,
K01297,3.4.17.13,
K01299,3.4.17.19,
K01305,,
K01308,3.4.19.11,
K01318,3.4.21.19,
K01322,3.4.21.26,
K01337,3.4.21.50,
K01338,3.4.21.53,
K01347,3.4.21.72,
K01354,3.4.21.83,
K01355,3.4.23.49,
K01356,3.4.21.88,
K01358,3.4.21.92,
K01364,3.4.22.10,
K01372,3.4.22.40,
K01387,3.4.24.3,
K01390,3.4.24.13,
K01400,3.4.24.28,
K01401,3.4.24.29,
K01406,3.4.24.40,
K01407,3.4.24.55,
K01408,3.4.24.56,
K01414,3.4.24.70,
K01419,3.4.25.2,
K01420,,
K01421,,
K01423,,
K01424,3.5.1.1,R00485;R00485  L-asparagine amidohydrolase
K01425,3.5.1.2,R00256;R00256  L-glutamine amidohydrolase;R01579;R01579  D-glutamine amidohydrolase
K01426,3.5.1.4,R02540;R02540  2-phenylacetamide amidohydrolase;R03096;R03096  indole-3-acetamide amidohydrolase;R03180;R03180  4-guanidinobutanamide amidohydrolase;R03909;R03909  monocarboxylic acid amide amidohydrolase;R05551;R05590;R05590  acylamide aminohydrolase
K01428,3.5.1.5,R00131;R00131  urea amidohydrolase;R13420;R13420  urea amidohydrolase
K01430,3.5.1.5,R00131;R00131  urea amidohydrolase;R13420;R13420  urea amidohydrolase
K01431,3.5.1.6,R00905;R00905  3-ureidopropanoate amidohydrolase;R04666;R04666  (R)-3-ureidoisobutyrate amidohydrolase;R08228;R08228  alpha-fluoro-beta-ureidopropionic acid amidohydrolase
K01433,3.5.1.10,R00944;R00944  10-formyltetrahydrofolate amidohydrolase
K01434,3.5.1.11,R02170;R02170  penicillin amidohydrolase
K01438,3.5.1.16,R00669;R00669  N2-acetyl-L-ornithine amidohydrolase;R09107;R09107  N-acetyl-L-citrulline amidohydrolase
K01439,3.5.1.18,"R02734;R02734  N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase"
K01442,3.5.1.24,R02797;R02797  taurocholate amidohydrolase;R03975;R03975  glycochenodeoxycholate amidohydrolase;R03977;R03977  chenodeoxycholoyltaurine amidohydrolase;R04486;R04486  glycodeoxycholate amidohydrolase;R04487;R04487  taurodeoxycholate amidohydrolase;R05835;R05835  glycocholate amidohydrolase
K01443,3.5.1.25,R02059;R02059  N-acetyl-D-glucosamine-6-phosphate amidohydrolase
K01447,3.5.1.28,R04112;R04112  N-acetylmuramoyl-Ala amidohydrolase
K01448,3.5.1.28,R04112;R04112  N-acetylmuramoyl-Ala amidohydrolase
K01449,,R04112;R04112  N-acetylmuramoyl-Ala amidohydrolase
K01451,3.5.1.32,R01424;R01424  N-benzoylglycine amidohydrolase
K01455,3.5.1.49,R00524;R00524  formamide amidohydrolase
K01458,3.5.1.68,R00525;R00525  N-formyl-L-glutamate amidohydrolase
K01460,3.5.1.78;6.3.1.8,R01917;R01917  gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming);R01918;R01918  gamma-L-glutamyl-L-cysteinyl-glycine:spermidine amidase
K01461,3.5.1.82,
K01462,3.5.1.88,
K01464,3.5.2.2,"R02269;R02269  5,6-dihydrouracil amidohydrolase;R03055;R03055  (R)-5,6-dihydrothymine amidohydrolase;R08227;R08227  5,6-dihydro-5-fluorouracil amidohydrolase"
K01465,3.5.2.3,R01993;R01993  (S)-dihydroorotate amidohydrolase
K01467,3.5.2.6,R06363;R06363  penicillin hydrolase
K01468,3.5.2.7,R02288;R02288  4-imidazolone-5-propanoate amidohydrolase
K01469,3.5.2.9,R00251;R00251  5-oxo-L-proline amidohydrolase (ATP-hydrolysing)
K01470,3.5.2.10,R01884;R01884  creatinine amidohydrolase
K01473,3.5.2.14,"R03187;R03187  N-methylimidazolidine-2,4-dione amidohydrolase (ATP-hydrolysing)"
K01474,3.5.2.14,"R03187;R03187  N-methylimidazolidine-2,4-dione amidohydrolase (ATP-hydrolysing)"
K01477,3.5.3.4,R02422;R02422  allantoate amidinohydrolase
K01478,3.5.3.6,R00552;R00552  L-arginine iminohydrolase
K01480,3.5.3.11,R01157;R01157  agmatine amidinohydrolase
K01482,3.5.3.18,
K01483,4.3.2.3,R00776;R00776  (S)-ureidoglycolate urea-lyase (glyoxylate-forming)
K01484,3.5.3.23,R04189;R04189  N2-succinyl-L-arginine iminohydrolase (decarboxylating)
K01485,3.5.4.1;3.5.4.21,R00974;R00974  cytosine aminohydrolase;R01411;R01411  5-methylcytosine aminohydrolase;R02922;R02922  creatinine iminohydrolase
K01486,3.5.4.2,R01244;R01244  adenine aminohydrolase
K01487,3.5.4.3,R01676;R01676  guanine aminohydrolase
K01488,3.5.4.4,R01560;R01560  adenosine aminohydrolase;R02556;R02556  deoxyadenosine aminohydrolase
K01489,3.5.4.5,R01878;R01878  cytidine aminohydrolase;R02485;R02485  deoxycytidine aminohydrolase;R08221;R08221  5'-deoxy-5-fluorocytidine aminohydrolase
K01491,1.5.1.5;3.5.4.9,"R01220;R01220  5,10-methylenetetrahydrofolate:NADP+ oxidoreductase;R01655;R01655  5,10-methenyltetrahydrofolate 5-hydrolase (decyclizing)"
K01492,2.1.2.2;2.1.2.3,R04325;R04325  10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase;R04326;R04560;R04560  10-formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-imidazolecarboxamide formyltransferase
K01493,3.5.4.12,R01663;R01663  dCMP aminohydrolase
K01494,3.5.4.13,R02325;R02325  dCTP aminohydrolase
K01495,3.5.4.16,"R00424;R00424  GTP 7,8-8,9-dihydrolase;R00428;R00428  GTP 8,9-hydrolase;R04639;R04639  2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase;R05046;R05046  formamidopyrimidine nucleoside triphosphate amidohydrolase;R05048;R05048  2,5-diaminopyrimidine nucleoside triphosphate mutase"
K01497,3.5.4.25,"R00425;R00425  GTP 7,8-8,9-dihydrolase (diphosphate-forming)"
K01500,3.5.4.9,"R01655;R01655  5,10-methenyltetrahydrofolate 5-hydrolase (decyclizing)"
K01507,3.6.1.1,
K01512,3.6.1.7,R00317;R00317  acetyl phosphate phosphohydrolase;R01421;R01421  benzoyl phosphate phosphohydrolase;R01515;R01515  3-phospho-D-glyceroyl phosphate phosphohydrolase
K01515,3.6.1.13,R01054;R01054  ADP-ribose ribophosphohydrolase;R12896;R12896  prenyl diphosphate diphosphate phosphohydrolase
K01519,3.6.1.66,R00720;R00720  inosine 5'-triphosphate pyrophosphohydrolase;R02720;R02720  XTP pyrophosphohydrolase;R03531;R03531  2'-deoxyinosine-5'-triphosphate pyrophosphohydrolase;R08243;R08243  inosine triphosphate pyrophosphatase
K01520,3.6.1.23,R02100;R02100  dUTP nucleotidohydrolase;R11896;R11896  5-fluorodeoxyuridine-triphosphate diphosphohydrolase
K01524,3.6.1.11;3.6.1.40,R03409;R03409  guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase
K01525,3.6.1.41,"R00125;R00125  P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase"
K01531,7.2.2.14,
K01533,7.2.2.9,
K01534,7.2.2.12;7.2.2.21,
K01537,7.2.2.10,
K01546,,
K01547,7.2.2.6,
K01548,,
K01551,7.3.2.7,
K01552,,
K01555,3.7.1.2,R01364;R01364  4-fumarylacetoacetate fumarylhydrolase
K01560,3.8.1.2,R05287;R05287  chloroacetic acid halidohydrolase
K01566,3.13.1.9,R12588;R12588  S-inosyl-L-homocysteine hydrolase (inosine-forming)
K01567,,
K01569,4.1.1.2,R00522;R00522  oxalate carboxy-lyase
K01571,7.2.4.2, Na+-extruding);R12212;R12212  oxaloacetate carboxy-lyase (pyruvate-forming
K01576,4.1.1.7,R01764;R01764  benzoylformate carboxy-lyase (benzaldehyde-forming);R02672;R02672  4-hydroxybenzoylformate carboxy-lyase
K01577,4.1.1.8,R01908;R01908  oxalyl-CoA carboxy-lyase (formyl-CoA-forming)
K01579,4.1.1.11,R00489;R00489  L-aspartate 1-carboxy-lyase (beta-alanine-forming)
K01580,4.1.1.15,R00261;R00261  L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming);R00489;R00489  L-aspartate 1-carboxy-lyase (beta-alanine-forming);R01682;R01682  3-sulfo-L-alanine carboxy-lyase (taurine-forming);R02466;R02466  3-sulfino-L-alanine carboxy-lyase
K01581,4.1.1.17,R00670;R00670  L-ornithine carboxy-lyase (putrescine-forming)
K01582,4.1.1.18,R00462;R00462  L-lysine carboxy-lyase (cadaverine-forming)
K01584,4.1.1.19,R00566;R00566  L-arginine carboxy-lyase (agmatine-forming)
K01585,4.1.1.19,R00566;R00566  L-arginine carboxy-lyase (agmatine-forming)
K01586,4.1.1.20,"R00451;R00451  meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)"
